incident_id,year,incident_type
3498,2024,Disruption
3498,2024,Hijacking with Misuse
3498,2024,Ransomware
3497,2024,Data theft
3497,2024,Hijacking with Misuse
3496,2024,Disruption
3495,2024,Data theft & Doxing
3495,2024,Hijacking with Misuse
3495,2024,Ransomware
3494,2024,Data theft & Doxing
3494,2024,Hijacking with Misuse
3493,2018,Data theft
3493,2018,Hijacking with Misuse
3492,2024,Disruption
3491,2024,Disruption
3490,2022,Hijacking without Misuse
3489,2024,Hijacking with Misuse
3488,2024,Data theft & Doxing
3488,2024,Hijacking with Misuse
3488,2024,Ransomware
3487,2024,Data theft
3487,2024,Disruption
3487,2024,Hijacking with Misuse
3487,2024,Ransomware
3486,2024,Data theft
3486,2024,Disruption
3486,2024,Hijacking with Misuse
3486,2024,Ransomware
3485,2023,Data theft
3485,2023,Hijacking with Misuse
3484,2023,Data theft & Doxing
3484,2023,Disruption
3484,2023,Hijacking with Misuse
3484,2023,Ransomware
3481,2020,Data theft
3481,2020,Hijacking with Misuse
3480,2024,Hijacking with Misuse
3479,2024,Data theft & Doxing
3479,2024,Hijacking with Misuse
3479,2024,Ransomware
3478,2024,Hijacking without Misuse
3477,2024,Disruption
3476,2023,Data theft
3476,2023,Disruption
3476,2023,Hijacking with Misuse
3476,2023,Ransomware
